tiempo,VELOCIDAD,ACELERACION
129,9.15,0.674166667
130,9.35,0.214166667
131,9.73,0.375833333
132,10.02,0.135833333
133,10,-0.101666667
134,9.88,-0.094166667
135,9.83,-0.033333333
136,9.79,-0.07
137,9.68,-0.0925
138,9.52,-0.391666667
139,8.78,-1.140833333
140,7.29,-1.748333333
141,5.53,-1.418333333
142,4.5,-1.004166667
143,3.48,-0.7475
144,2.94,-0.7425
145,2.02,-0.634166667
146,1.73,-0.285
147,1.41,-0.135833333
148,1.48,0.21
149,1.65,-0.198333333
150,1.13,-0.405833333
151,0.99,0.016666667
152,1.07,0.003333333
153,0.97,-0.010833333
154,0.93,-0.5575
155,0,0
156,0,0
157,0,1.034166667
158,1.88,1.410833333
159,2.63,1.0675
160,4.11,1.298333333
161,5.03,0.650833333
162,5.5,0.401666667
163,5.94,0.52
164,6.57,0.738333333
165,7.35,0.744166667
166,7.92,0.2075
167,7.81,-0.174166667
168,7.76,0.21
169,8.16,0.263333333
170,8.2,0.025
171,8.17,-0.3375
172,7.54,-0.734166667
173,6.93,-0.141666667
174,7.09,-0.37
175,6.27,-0.263333333
176,6.7,0.465833333
177,6.97,0.186666667
178,7.1,0.113333333
179,7.23,0.165833333
180,7.42,0.175833333
181,7.54,0.024166667
182,7.47,-0.0825
183,7.34,-0.340833333
184,6.81,-0.52
185,6.35,-0.533333333
186,5.79,-0.391666667
187,5.58,-0.146666667
188,5.35,-0.425
189,4.59,-1.395
190,2.97,-0.56
191,3.28,-0.646666667
192,1.59,-1.1825
193,1.31,0.069166667
194,1.4,-0.2425
195,0.93,0.110833333
196,1.46,-0.196666667
197,0.46,-0.929166667
198,0,0.0175
199,0.4,0.361666667
200,0.77,1.045
201,2.28,0.92
202,2.5,0.391666667
203,3.2,0.4775
204,3.43,0.411666667
205,3.99,0.248333333
206,3.88,-0.206666667
207,3.82,0.378333333
208,4.55,0.569166667
209,4.81,0.169166667
210,4.97,0.1675
211,5.15,0.15
212,5.26,0.104166667
213,5.33,-0.0575
214,5.16,-0.18
215,5.04,0.053333333
216,5.1,-0.360833333
217,4.21,-1.235833333
218,2.85,-1.2675
219,1.87,-0.604166667
220,1.59,-0.188333333
221,1.38,-0.21
222,1.19,-0.151666667
223,1.19,0.4275
224,1.89,0.33
225,1.85,0.200833333
226,2.51,1.049166667
227,3.74,1.010833333
228,4.42,0.615833333
229,5,0.358333333
230,5.2,0.366666667
231,5.68,0.1375
232,5.46,-0.211666667
233,5.43,0.19
234,5.74,0.178333333
235,5.64,-0.400833333
236,5,-0.761666667
237,4.32,-0.335
238,4.32,-0.000833333
239,4.22,-0.028333333
240,4.21,-0.205
241,3.78,-0.4975
242,3.26,-0.600833333
243,2.59,-0.728333333
244,1.9,-0.461666667
245,1.64,-0.36
246,1.2,-0.215833333
247,1.31,0.385
248,1.85,0.4925
249,2.22,0.343333333
250,2.57,0.3875
251,2.95,0.205833333
252,3.04,0.308333333
253,3.51,0.135
254,3.35,0.105
255,3.81,0.4675
256,4.18,0.343333333
257,4.54,0.455833333
258,5.07,0.48
259,5.46,0.345
260,5.78,0.305
261,6.08,0.311666667
262,6.37,0.2025
263,6.44,-0.085833333
264,6.23,-0.305833333
265,5.99,0.143333333
266,6.44,0.2625
267,6.4,-0.113333333
268,6.36,0.21
269,6.71,0.035833333
270,6.4,-0.273333333
271,6.29,-0.0625
272,6.28,0.119166667
273,6.5,0.256666667
274,6.65,-0.205
275,6.17,-0.319166667
276,6.1,-0.135
277,5.93,0.1325
278,6.35,0.4425
279,6.58,-0.095
280,5.99,-1.311666667
281,4.19,-1.655
282,2.97,-0.8625
283,2.28,-0.99
284,1.06,-0.8075
285,0.79,-0.096666667
286,0.74,0.093333333
287,0.88,-0.065833333
288,0.66,-0.025
289,0.94,0.470833333
290,1.52,0.675
291,2.11,0.124166667
292,1.92,0.1725
293,2.65,1.0625
294,3.77,0.800833333
295,4.16,0.2125
296,4.39,0.480833333
297,5.06,0.413333333
298,5.2,0.2875
299,5.68,0.41
300,5.9,0.015
301,5.74,-0.196666667
302,5.5,-0.51
303,4.84,-0.366666667
304,4.82,0.0125
305,4.7,-0.3175
306,4.23,-0.315
307,3.93,-0.959166667
308,2.44,-1.138333333
309,1.89,-0.369166667
310,1.57,-0.184166667
311,1.4,-0.4325
312,0.73,-0.670833333
313,0.36,0.214166667
314,1.3,1.770833333
315,3.39,1.313333333
316,3.72,0.114166667
317,3.96,0.3875
318,4.49,0.483333333
319,4.9,0.505833333
320,5.44,0.283333333
321,5.49,0.188333333
322,5.81,0.076666667
323,5.6,-0.238333333
324,5.4,-0.235
325,5.07,-0.441666667
326,4.39,-1.185833333
327,2.82,-1.554166667
328,1.63,-0.541666667
329,1.64,-0.028333333
330,1.45,0.070833333
331,1.72,-0.065
332,1.42,0.245
333,2.18,0.460833333
334,2.19,0.06
335,2.35,-0.063333333
336,2.06,-0.226666667
337,1.9,-0.411666667
338,1.31,-0.405833333
339,1.29,0.445833333
340,2.05,0.669166667
341,2.47,0.295833333
342,2.72,0.329166667
343,3.1,0.186666667
344,3.14,0.215
345,3.59,0.523333333
346,4.06,0.2775
347,4.18,0.224166667
348,4.53,0.235833333
349,4.66,0.2675
350,5.07,0.379166667
351,5.29,-0.095833333
352,5.02,-0.036666667
353,5.41,1.4075
354,6.47,-3.188333333
355,0,-3.8625
356,0,0.539166667
357,0,0
358,0,-0.375833333
359,0,2.669166667
360,4.51,2.41
361,4.05,-0.946666667
362,3.48,-0.460833333
363,3.12,-0.446666667
364,2.6,-0.419166667
365,2.37,-0.006666667
366,2.51,0.104166667
367,2.48,-0.1175
368,2.23,-0.530833333
369,1.54,-0.493333333
370,1.36,0.001666667
371,1.44,-0.049166667
372,1.41,0.5375
373,2.53,1.28
374,3.63,0.658333333
375,3.84,0.086666667
376,3.99,0.24
377,4.37,0.545833333
378,4.99,0.495833333
379,5.29,0.18
380,5.4,0.100833333
381,5.49,-0.043333333
382,5.38,0.1125
383,5.65,-0.003333333
384,5.33,-0.324166667
385,5.13,-0.091666667
386,5.11,-0.055
387,4.99,-0.146666667
388,4.87,-0.006666667
389,4.97,0.133333333
390,5.03,-0.096666667
391,4.67,-0.71
392,3.63,-1.305
393,2.29,-1.039166667
394,1.65,-0.453333333
395,1.3,-0.245833333
396,1.15,0.000833333
397,1.24,-0.045
398,1.16,0.3125
399,1.92,0.916666667
400,2.84,0.975833333
401,3.68,0.308333333
402,3.53,-0.085833333
403,3.74,0.4825
404,4.35,0.379166667
405,4.45,0.118333333
406,4.66,0.193333333
407,4.8,0.065
408,4.83,0.125
409,5.03,0.084166667
410,5,0.0425
411,5.15,0.151666667
412,5.28,0.173333333
413,5.45,0.015
414,5.32,-0.116666667
415,5.29,0.081666667
416,5.4,-0.098333333
417,5.11,-0.194166667
418,5.06,-0.069166667
419,4.9,-0.285833333
420,4.55,-0.266666667
421,4.46,0.145833333
422,4.74,0.134166667
423,4.67,-0.080833333
424,4.62,-0.104166667
425,4.47,-0.091666667
426,4.39,-0.220833333
427,3.93,-0.754166667
428,2.95,-1.055
429,2,-0.650833333
430,1.61,-0.476666667
431,1.02,-0.429166667
432,0.83,0.015
433,0.91,-0.235833333
434,0.55,0.349166667
435,1.61,0.930833333
436,2.24,0.8825
437,3.26,0.459166667
438,3.16,0.014166667
439,3.46,0.305
440,3.67,0.103333333
441,3.68,0.001666667
442,3.68,-0.105
443,3.52,-0.028333333
444,3.65,0.1875
445,3.78,-0.155
446,3.51,0.2875
447,4.26,0.363333333
448,4.04,-0.4375
449,3.66,-0.036666667
450,3.96,0.285
451,4.06,-0.169166667
452,3.82,0.273333333
453,4.57,0.520833333
454,4.76,0.360833333
455,5.33,0.463333333
456,5.57,0.038333333
457,5.49,-0.014166667
458,5.58,0.053333333
459,5.58,0.0225
460,5.65,0.1225
461,5.78,0.030833333
462,5.71,-0.044166667
463,5.69,-0.160833333
464,5.46,0.03
465,5.71,0.095
466,5.51,-0.395833333
467,4.95,-0.769166667
468,4.13,-0.525833333
469,3.9,-0.3125
470,3.42,-0.463333333
471,3.02,-0.334166667
472,2.65,-0.695
473,1.75,-0.481666667
474,1.6,-0.721666667
475,0.4,-0.678333333
476,0.51,0.5525
477,1.17,0.298333333
478,1.13,0.279166667
479,1.78,0.511666667
480,2.04,0.260833333
481,2.31,0.085833333
482,2.24,0.008333333
483,2.35,0.016666667
484,2.26,-0.088333333
485,2.27,0.2275
486,2.66,0.328333333
487,2.82,0.0275
488,2.72,-0.246666667
489,2.42,-0.2
490,2.42,0.241666667
491,2.82,0.3325
492,3.02,0.190833333
493,3.23,0.1575
494,3.41,0.446666667
495,4.05,0.520833333
496,4.22,-0.3025
497,3.46,-1.0825
498,2.32,-0.8475
499,1.84,-0.4075
500,1.43,-0.319166667
501,1.23,-0.054166667
502,1.27,0.02
503,1.21,-0.181666667
504,1.03,0.0775
505,1.49,0.920833333
506,2.58,0.560833333
507,2.56,0.0575
508,2.86,0.214166667
509,3.04,0.545
510,3.85,0.575833333
511,3.94,-0.415833333
512,3.15,-0.795
513,2.43,-1.018333333
514,1.31,-0.5025
515,1.44,0.169166667
516,1.26,-0.850833333
517,0,-0.72
518,0,0
519,0,0
520,0,0
521,0,0
522,0,0
523,0,0
524,0,0
525,0,0
526,0,0
527,0,-0.1310397
528,0,0.7909136
529,1.5724764,1.738731625
530,3.088848,1.1581679
531,3.8460045,0.564864983
532,4.29021,0.260878233
533,4.4049926,0.025478458
534,4.430214,0.128938042
535,4.660295,0.207776433
536,4.7853727,0.0364595
537,4.752945,-0.01951685
538,4.7339,-0.144594208
539,4.4827156,-0.210563942
540,4.358668,-0.11902945
541,4.2778563,0.074377258
542,4.523379,0.397923325
543,4.9078765,0.063139158
544,4.6237497,-0.370943167
545,4.323152,-0.157290592
546,4.296901,-0.025178442
547,4.180574,-0.324661108
548,3.785267,-0.034829658
549,4.1260133,0.317540983
550,4.2783713,0.084800617
551,4.3149166,0.010723367
552,4.278886,-0.155746525
553,4.0014505,-0.369570667
554,3.6396008,-0.202586075
555,3.635483,0.105603875
556,3.7821789,0.14969835
557,3.8748288,0.008278483
558,3.757987,-0.256288783
559,3.342606,-0.632679483
560,2.5998619,-0.598064158
561,2.2019818,-0.381966783
562,1.8097633,-0.317026092
563,1.6054186,-0.028524183
564,1.6316694,-0.173118258
565,1.1195208,-0.953994717
566,0,-0.61037475
567,0,0.0932934
568,0,0
569,0,0
570,0,0
571,0,0
572,0,0
573,0,0
574,0,0
575,0,0
576,0,0
577,0,0
578,0,0
579,0,0
580,0,0
581,0,0
582,0,0
583,0,0
584,0,0
585,0,0
586,0,0
587,0,-0.142234908
588,0,0.985607283
589,1.7068189,1.00117755
590,1.8272638,0.331223792
591,2.6039798,0.762475258
592,3.2026017,0.469340883
593,3.559819,0.2585193
594,3.8418868,0.557272592
595,4.616029,0.6317357
596,4.9650106,0.139532483
597,4.963981,-0.011195233
598,4.951113,-0.192634983
599,4.639191,-0.160850567
600,4.6783104,0.060222617
601,4.711767,0.08771705
602,4.8090496,-0.048040575
603,4.6325,-0.103459142
604,4.6206613,-0.065670167
605,4.4461703,-0.278464592
606,4.106454,-0.266883275
607,3.8604167,-0.429192742
608,3.1372318,-1.120250008
609,1.8427056,-0.945458817
610,1.4077653,-0.24766725
611,1.3701905,0.480879183
612,2.329118,1.105837883
613,3.442977,1.181158808
614,4.7200027,1.526494433
615,6.3233624,1.253177058
616,7.054268,0.322173258
617,7.0789747,-0.111994883
618,6.898822,-0.38153805
619,6.423733,-0.219357567
620,6.390791,-0.287515
621,5.6470175,-1.186820933
622,4.135278,-1.623047908
623,2.6214802,-1.279685008
624,1.6630675,-0.67321375
625,1.2255536,-0.299225242
626,1.0464302,0.070516942
627,1.2790847,0.144851425
628,1.245113,-0.176120775
629,1.0767989,0.166727175
630,1.5415931,0.341217892
631,1.6501994,0.058506783
632,1.7377023,0.172260392
633,1.9435911,0.041263542
634,1.821602,-0.084457283
635,1.8262345,0.001973042
636,1.8123369,0.032641875
637,1.8457938,-0.130010217
638,1.5863739,-0.127007625
639,1.5786531,-0.207004125
640,1.1993028,-0.199240383
641,1.2332745,0.017243167
642,1.2142297,0.170458825
643,1.4911503,0.104488608
644,1.2168033,-0.892914392
645,0,-0.686939675
646,0,0.101400275
647,0,0
648,0,0
649,0,0
650,0,-0.274775883
651,0,1.843906608
652,3.2973106,2.434507417
653,4.2516055,0.559031017
654,4.798755,0.5253598
655,5.303183,0.29836765
656,5.405613,0.060351158
657,5.5260577,0.225362258
658,5.8575387,0.389044342
659,6.2142415,0.183498708
660,6.2425513,0.080596892
661,6.404174,0.095738317
662,6.409836,0.002230475
663,6.4036593,-0.143779042
664,6.211668,0.105475217
665,6.5441785,0.047225483
666,6.268287,-0.193921725
667,6.2899055,0.1690864
668,6.5045447,0.036759725
669,6.4052033,0.064554875
670,6.7495527,0.61796705
671,7.475311,0.499623567
672,7.6498017,0.022176058
673,7.6117125,-0.103201967
674,7.574652,0.286614308
675,8.112537,0.389602292
676,8.217026,-0.052587467
677,8.075477,-0.123619467
678,7.9092216,-0.427219358
679,7.1335354,-1.0991464
680,5.8081255,-1.388377483
681,4.456465,-1.321034625
682,3.1531882,-1.411840167
683,1.7464525,-1.017348383
684,1.0701075,-0.901535983
685,0,-0.567867292
686,0,-0.126407208
687,0,1.483472417
688,2.586994,1.712480808
689,2.894283,-0.174533883
690,2.6044943,-0.347995183
691,2.234409,-0.606642917
692,1.4839442,-0.586482992
693,1.2095972,0.007506308
694,1.4437958,0.34786645
695,1.8231461,0.418640717
696,2.217938,0.253071817
697,2.3790462,0.285499342
698,2.8541348,0.6437888
699,3.4867284,0.215325417
700,3.35393,0.071717917
701,3.7935028,0.648550175
702,4.447715,0.358632833
703,4.4544063,-0.0993846
704,4.337564,-0.216998242
705,4.10491,-0.080468008
706,4.2557235,0.3920466
707,4.7652984,0.371629383
708,4.916112,0.042507542
709,4.9284654,0.0633965
710,5.050969,0.026851083
711,5.0833964,0.44669325
712,5.833347,0.433139
713,5.8271704,-0.065412717
714,5.803493,-0.11628435
715,5.629517,-0.072232775
716,5.647532,-0.118686533
717,5.4462757,0.109936533
718,5.761801,-0.156818592
719,5.2244306,-0.0324708
720,5.7545943,0.3778919
721,5.7782717,-0.0851862
722,5.657827,-0.178866042
723,5.4725266,-0.098269358
724,5.455026,-0.117056233
725,5.335096,0.360991967
726,5.963057,-0.063353917
727,5.204871,-0.510175583
728,5.173473,0.0554615
729,5.140531,-0.227764467
730,4.782799,-0.197224633
731,4.8126526,0.156046567
732,4.9171414,-0.275118883
733,4.3427114,-0.263966817
734,4.324696,-0.520941733
735,3.2406912,-1.121236483
736,2.3522806,-0.580992667
737,2.018226,-0.425460825
738,1.5168864,-0.211636717
739,1.6630675,0.308104058
740,2.0506532,0.529391817
741,2.5911117,0.243806942
742,2.5885382,0.181096433
743,3.0404642,0.486154975
744,3.472316,0.379564692
745,3.8274744,0.435112017
746,4.3298435,0.467668233
747,4.67934,0.126964742
748,4.675222,0.199712042
749,5.0669255,0.224118392
750,5.033983,-0.110708083
751,4.8600073,-0.453941842
752,4.3483734,0.111866192
753,5.0293508,0.4863267
754,5.0463367,-0.31989985
755,4.6077933,-0.175563225
756,4.8147116,0.427734075
757,5.2831087,0.276791825
758,5.316051,-0.01647085
759,5.2970066,-0.071031608
760,5.123545,-0.41902695
761,4.59544,-0.183155158
762,4.7318416,-0.030154217
763,4.3612413,-0.62388625
764,3.611806,-0.581764767
765,3.1217902,-0.983162458
766,1.79741,-0.806827008
767,1.6440228,-0.098655058
768,1.4715909,0.034572192
769,1.6990981,0.19194845
770,1.8231461,0.245694025
771,2.153083,0.194908058
772,2.1551418,-0.128294442
773,2.016167,0.083170633
774,2.2673514,0.049970883
775,2.0527122,-0.253972508
776,1.8478528,-0.194865258
777,1.7078483,-0.038818667
778,1.8468233,0.4729868
779,2.5103002,0.397880317
780,2.5916264,0.117571092
781,2.8917093,0.496878475
782,3.487243,0.51746745
783,3.7126913,-0.308962033
784,2.949873,-0.77847435
785,2.3002937,-0.637354792
786,1.5297544,-1.287706383
787,0,-0.828145125
788,0,0.127479533
789,0,0
790,0,0
791,0,0
792,0,-0.326333883
793,0,2.206742783
794,3.9160066,2.788035975
795,4.8471394,0.460333217
796,5.3206835,0.356144683
797,5.7134166,0.614707058
798,6.572488,0.961415442
799,7.4850907,0.736438967
800,7.957091,0.1823402
801,7.952973,0.057477308
802,8.127464,0.10843475
803,8.158347,0.066570417
804,8.298866,0.199068833
805,8.525344,0.218543
806,8.674614,-0.0095225
807,8.541815,-0.100070583
808,8.544904,0.097711583
809,8.688511,0.082827083
810,8.675643,-0.066442125
811,8.593802,-0.04087725
812,8.5845375,-0.063525583
813,8.450194,-0.152358417
814,8.289086,-0.208976792
815,8.058491,-0.127221808
816,7.958635,-0.3273632
817,7.3332477,-0.835737167
818,6.415498,-0.81437655
819,5.742241,-0.665149942
820,5.0031,-0.846503333
821,4.015863,-1.160141117
822,2.762514,-1.206466142
823,1.7392464,-0.661846817
824,1.2677609,-0.9292881
825,0,-0.700236733
826,0,-0.096639092
827,0,1.33450315
828,2.42743,1.970013508
829,3.4054022,0.42104275
830,3.6030555,0.452011825
831,4.352491,0.516781242
832,4.5799985,0.261050158
833,5.0195713,0.727002083
834,5.807096,0.225533758
835,5.445246,-0.375618525
836,5.278991,-0.079052492
837,5.3021536,0.218327883
838,5.6109867,0.167027433
839,5.481277,-0.552082608
840,4.707649,-0.416152992
841,4.7004433,-0.081111383
842,4.358153,-0.604283867
843,3.6586456,-0.379092942
844,3.6246738,-0.120659508
845,3.381725,-0.0847575
846,3.5907023,0.552768933
847,4.4039636,0.854224458
848,5.1693554,0.702595592
849,5.7602563,0.3660104
850,6.0098968,0.5079453
851,6.73617,0.461705758
852,6.8813214,0.208204817
853,7.191184,0.173719067
854,7.151551,-0.208934267
855,6.813378,-0.402126933
856,6.3660846,-0.510776
857,5.732976,-0.880475508
858,4.637647,-1.120207067
859,3.5515833,-1.161599217
860,2.3574278,-1.02764295
861,1.430413,-1.275653258
862,0,-0.75715635
863,0,0.119201083
864,0,0
865,0,0
866,0,0
867,0,0
868,0,0
869,0,0
870,0,-0.113410467
871,0,0.780276017
872,1.3609256,0.882019492
873,1.5240926,-0.04774055
874,1.6085069,0.5345819
875,2.553537,0.9356792
876,3.181498,0.100842742
877,2.879871,-0.1822546
878,3.009066,0.227035325
879,3.3611362,0.700108192
880,4.3071957,0.83316365
881,4.8636103,0.320328717
882,5.030895,0.222145442
883,5.306786,0.068586858
884,5.186856,-0.017672117
885,5.288256,-0.011238317
886,5.0947204,-0.351083417
887,4.704561,-0.187659183
888,4.730297,-0.034443525
889,4.624779,0.062538717
890,4.8697867,0.232354333
891,5.070014,0.3733884
892,5.503925,0.098354858
893,5.2172246,-0.410491242
894,4.8672132,-0.130825292
895,4.9022145,-0.153472758
896,4.5537477,-0.19743905
897,4.5511737,-0.004032042
898,4.4281554,-0.331523842
899,3.9458606,-0.400754158
900,3.689529,-0.251656367
901,3.4512124,-0.094580233
902,3.4908462,0.045381517
903,3.491361,-0.019816783
904,3.4661396,-0.002530708
905,3.491361,0.017714917
906,3.5212147,0.146181033
907,3.7193828,-0.033628525
908,3.5361416,0.109464192
909,4.0143185,0.583909333
910,4.56713,0.530378383
911,4.960378,0.083170742
912,4.740077,-0.347222975
913,4.3998456,-0.253500833
914,4.2495465,-0.1121238
915,4.078144,-0.405686725
916,3.5119498,-0.375361133
917,3.3673127,-0.172088875
918,3.0672297,-0.423444767
919,2.5854497,-0.370685817
920,2.338383,-0.369870783
921,1.9847689,0.137816858
922,2.7002327,1.061914817
923,3.826445,0.876100233
924,4.328814,0.288587667
925,4.5002165,0.092349608
926,4.6273527,0.324661058
927,5.1065593,0.374846592
928,5.2836237,0.028438208
929,5.2522254,0.084457225
930,5.451423,0.112338458
931,5.435467,0.020202867
932,5.401495,-0.43764275
933,4.610367,-0.72520075
934,4.102336,-0.42619015
935,3.744604,-0.231710683
936,3.5896728,-0.224504658
937,3.2895896,-0.18898885
938,3.1562767,-0.410876925
939,2.5453014,-0.272288075
940,2.5658903,-0.380465492
941,1.8339553,-0.382352883
942,2.0310938,0.621355392
943,2.855164,0.629376592
944,3.2792952,0.721769458
945,4.2670474,0.753767817
946,4.6649275,0.281767567
947,4.8950086,0.1170565
948,4.921774,-0.008836233
949,4.9171414,0.0359876
950,4.9480247,-0.129452683
951,4.673163,-0.250112017
952,4.523379,-0.010337308
953,4.52132,-0.334998417
954,3.8573284,-0.6550269
955,3.3647392,-0.35357125
956,3.1310554,-0.145966542
957,2.953991,-0.405858608
958,2.3229413,-0.674843842
959,1.7701297,-0.2874723
960,1.7582911,0.067385758
961,1.886457,0.374546242
962,2.4449306,0.501124908
963,2.7686908,0.142492317
964,2.8026626,0.066570717
965,3.0384052,0.543203425
966,3.8037972,0.659616667
967,4.2593265,0.412506917
968,4.654633,0.321915975
969,4.8950086,0.1370018
970,5.0262623,0.382695883
971,5.5883393,0.339459433
972,5.608928,-0.067857717
973,5.482821,-0.371629475
974,4.9964085,-0.183026558
975,5.147737,0.127050842
976,5.1245747,-0.116927825
977,4.9835405,-0.03328545
978,5.0859704,0.140991008
979,5.238328,0.218027758
980,5.4709826,0.163981783
981,5.447305,-0.409547375
982,4.790005,-0.41199215
983,4.7050757,-0.116412958
984,4.477054,-0.1801098
985,4.3406525,-0.221931108
986,4.035937,-0.283054367
987,3.839313,-0.135157442
988,3.8629904,0.43953
989,4.578969,0.430393483
990,4.678825,0.32122945
991,5.201268,0.174276442
992,4.986629,-0.212708867
993,4.9500837,0.109121083
994,5.221857,0.4858547
995,5.773639,0.289188275
996,5.744815,-0.111694758
997,5.6634884,-0.062109908
998,5.6809893,0.179852542
999,6.0083523,0.419584383
1000,6.3454957,-0.042678867
1001,5.944527,-0.407316992
1002,5.6825333,-0.217941942
1003,5.592457,0.28957405
1004,6.144239,0.347523333
1005,6.163284,-0.093336275
1006,6.0788693,0.015355775
1007,6.1895347,0.084285875
1008,6.1699753,-0.219829217
1009,5.8807015,0.076136058
1010,6.2461543,0.049799383
1011,5.885334,-0.345507442
1012,5.6094427,-0.469683925
1013,4.933098,-0.723785317
1014,4.2644734,-0.612047733
1015,3.8110034,-0.143392833
1016,3.9772587,0.346879975
1017,4.3560944,0.299053583
1018,4.4626417,-0.1600359
1019,4.1054244,-0.309776958
1020,3.8923295,-0.306216783
1021,3.5109203,-0.26186495
1022,3.3812103,-0.154330942
1023,3.1588502,-0.224075758
1024,2.92774,-0.283311608
1025,2.572067,-0.468139792
1026,2.086684,-0.331609842
1027,2.0480797,0.313894692
1028,2.7151597,1.012244092
1029,3.8331363,0.76775125
1030,4.2202077,0.455614883
1031,4.8754487,0.742100675
1032,5.5862803,0.507902008
1033,5.856509,0.149054883
1034,5.973866,0.192291825
1035,6.1874757,-0.034100083
1036,5.926512,-0.155231633
1037,5.886878,-0.229265825
1038,5.431864,-0.526732383
1039,4.9814816,-0.1613657
1040,5.0041294,-0.24089
1041,4.4013896,-0.741757633
1042,3.681808,-0.556500392
1043,3.304002,-0.349239025
1044,2.9030333,-0.483838917
1045,2.3620603,-0.521670933
1046,1.9523414,-0.151199708
1047,1.958518,-0.238745325
1048,1.4890914,-0.246037158
1049,1.5210042,-0.011109467
1050,1.4046769,-0.083084733
1051,1.4165156,0.161279633
1052,1.6501994,0.085829892
1053,1.5498286,-0.174576608
1054,1.4412222,0.153987792
1055,1.8396173,0.375618517
1056,2.1206555,0.295321842
1057,2.4778728,0.440259083
1058,3.0034041,0.599179492
1059,3.6184971,0.559803083
1060,4.055496,0.27288875
1061,4.176971,0.057606292
1062,4.1965303,-0.04165
1063,4.055496,-0.356959933
1064,3.583496,-0.263365958
1065,3.5562158,-0.067257033
1066,3.3626802,-0.254916283
1067,3.096054,-0.16445365
1068,2.961197,-0.385398275
1069,2.317794,-0.661332283
1070,1.7613795,-0.462048858
1071,1.4335014,-0.154974333
1072,1.4314425,0.04203565
1073,1.53799,0.3293793
1074,2.0928605,0.687625942
1075,2.7722938,0.494948308
1076,3.0543616,0.225834392
1077,3.2906191,0.215797267
1078,3.5294502,0.343663
1079,3.9834354,0.530421233
1080,4.472936,0.288244267
1081,4.4734507,-0.264996058
1082,3.9906414,-0.630234433
1083,3.3050313,-0.640357467
1084,2.688394,-0.710960017
1085,1.7397611,-1.516843392
1086,0,-0.9358079
1087,0,0.144980092
1088,0,0
1089,0,0
1090,0,-0.271515967
1091,0,1.8210014
1092,3.2581916,2.372826458
1093,4.213516,0.906125767
1094,5.2342105,0.267269633
1095,4.934642,0.136015083
1096,5.819964,1.250774958
1097,7.267363,1.689790167
1098,8.886679,1.041068583
1099,9.19088,-0.245221917
1100,8.715277,-0.25165625
